Vinicius Cardoso,vinicius.cardoso@gmail.com,password1,Aluno,Dança Contemporânea
Rodrigo Fernandes,rodrigo.fernandes@gmail.com,password2,Aluno,Escultura
Thiago Farias,thiago.farias@yahoo.com,password3,Aluno,Teatro
Bruno Machado,bruno.machado@gmail.com,password4,Aluno,Culinária
Heitor Vieira,heitor.vieira@hotmail.com,password5,Professor,Teatro Musical
Caio Cavalcanti,caio.cavalcanti@outlook.com,password6,Professor,Desenho
Lucas Azevedo,lucas.azevedo@icloud.com,password7,Aluno,Cinema de Animação
Matheus Correia,matheus.correia@uol.com.br,password8,Professor,Literatura
Joaquim Correia,joaquim.correia@icloud.com,password9,Aluno,Escultura
Otávio Alves,otávio.alves@hotmail.com,password10,Professor,Teatro
Fernando Lopes,fernando.lopes@yahoo.com,password11,Aluno,Fotografia
Theo Melo,theo.melo@outlook.com,password12,Aluno,Culinária
Antônio Ribeiro,antônio.ribeiro@icloud.com,password13,Professor,Cinema
Gabriel Costa,gabriel.costa@yahoo.com,password14,Aluno,Música Popular
Arthur Batista,arthur.batista@uol.com.br,password15,Professor,Escultura em Madeira
Wesley Martins,wesley.martins@icloud.com,password16,Professor,Dança
Caio Teixeira,caio.teixeira@icloud.com,password17,Aluno,Cinema Documentário
Diego Soares,diego.soares@icloud.com,password18,Aluno,Moda
Henrique Andrade,henrique.andrade@icloud.com,password19,Professor,Artes Visuais
Diego Pereira,diego.pereira@uol.com.br,password20,Aluno,Cinema
Bryan Cunha,bryan.cunha@uol.com.br,password21,Professor,Teatro de Rua
Sérgio Ferreira,sérgio.ferreira@uol.com.br,password22,Aluno,Literatura
Emanuel Ribeiro,emanuel.ribeiro@gmail.com,password23,Aluno,Dança de Salão
Murilo Cavalcanti,murilo.cavalcanti@hotmail.com,password24,Aluno,Escultura em Argila
Joaquim Melo,joaquim.melo@icloud.com,password25,Professor,Escultura
Thiago Cavalcanti,thiago.cavalcanti@outlook.com,password26,Aluno,Cinema Documentário
Heitor Fernandes,heitor.fernandes@icloud.com,password27,Aluno,Escultura em Argila
Carlos Dias,carlos.dias@uol.com.br,password28,Professor,Música Clássica
Thiago Coelho,thiago.coelho@hotmail.com,password29,Aluno,Arquitetura
Sérgio Oliveira,sérgio.oliveira@icloud.com,password30,Aluno,Dança
Lorenzo Soares,lorenzo.soares@uol.com.br,password31,Professor,Dança de Salão
João Moraes,joão.moraes@hotmail.com,password32,Aluno,Fotografia
Benjamin Barbosa,benjamin.barbosa@hotmail.com,password33,Professor,Teatro Musical
Gustavo Oliveira,gustavo.oliveira@icloud.com,password34,Professor,Literatura
Pietro Pinto,pietro.pinto@gmail.com,password35,Professor,Design Gráfico
Yuri Cavalcanti,yuri.cavalcanti@icloud.com,password36,Professor,Teatro
Eduardo Monteiro,eduardo.monteiro@hotmail.com,password37,Aluno,Jardinagem
Gabriel Duarte,gabriel.duarte@outlook.com,password38,Professor,Escrita Criativa
Yuri Cavalcanti,yuri.cavalcanti@yahoo.com,password39,Aluno,Pintura
Lucas Ramos,lucas.ramos@uol.com.br,password40,Aluno,Teatro
Igor Pereira,igor.pereira@gmail.com,password41,Aluno,Música Clássica
Bryan Martins,bryan.martins@gmail.com,password42,Aluno,Cinema Documentário
Lucca Peixoto,lucca.peixoto@outlook.com,password43,Professor,Música Popular
Isaac Alves,isaac.alves@hotmail.com,password44,Professor,Arquitetura
Lorenzo Aguiar,lorenzo.aguiar@uol.com.br,password45,Professor,Artes Visuais
Daniel Lopes,daniel.lopes@yahoo.com,password46,Professor,Arquitetura
Cauã Nunes,cauã.nunes@yahoo.com,password47,Professor,Cinema de Animação
Lucca Moreira,lucca.moreira@uol.com.br,password48,Professor,Artes Visuais
Otávio Coelho,otávio.coelho@icloud.com,password49,Professor,Fotografia
Kevin Andrade,kevin.andrade@icloud.com,password50,Professor,Cinema
Pedro Ferreira,pedro.ferreira@gmail.com,password51,Professor,Escultura em Argila
Gustavo Gomes,gustavo.gomes@icloud.com,password52,Aluno,Moda
Joaquim Nunes,joaquim.nunes@uol.com.br,password53,Aluno,Música Popular
Matheus Farias,matheus.farias@hotmail.com,password54,Aluno,Música
Gabriel Gomes,gabriel.gomes@gmail.com,password55,Professor,Artes Visuais
